1, 500000000, 002
1, 1000000000, 002
1, 1500000000, 001
1, 2000000000, 001
1, 2500000000, 001
1, 3000000000, 001
1, 3500000000, 001
1, 4294967295, 001
2, 500000000, 001
2, 1000000000, 001
2, 1500000000, 001
2, 2000000000, 001
2, 2500000000, 001
2, 3000000000, 001
2, 3500000000, 001
2, 4294967295, 001
3, 500000000, 001
3, 1000000000, 001
3, 1500000000, 001
3, 2000000000, 001
3, 2500000000, 001
3, 3000000000, 001
3, 3500000000, 001
3, 4294967295, 001
4, 500000000, 001
4, 1000000000, 001
4, 1500000000, 001
4, 2000000000, 001
4, 2500000000, 001
4, 3000000000, 001
4, 3500000000, 001
4, 4294967295, 001
5, 500000000, 001
5, 1000000000, 001
5, 1500000000, 001
5, 2000000000, 001
5, 2500000000, 001
5, 3000000000, 001
5, 3500000000, 001
5, 4294967295, 001
1, 500000000, 318
1, 1000000000, 731
1, 1500000000, 886
1, 2000000000, 302
1, 2500000000, 667
1, 3000000000, 356
1, 3500000000, 353
1, 4294967295, 447
2, 500000000, 829
2, 1000000000, 585
2, 1500000000, 154
2, 2000000000, 516
2, 2500000000, 063
2, 3000000000, 692
2, 3500000000, 840
2, 4294967295, 457
3, 500000000, 806
3, 1000000000, 297
3, 1500000000, 977
3, 2000000000, 229
3, 2500000000, 082
3, 3000000000, 577
3, 3500000000, 683
3, 4294967295, 153
4, 500000000, 718
4, 1000000000, 021
4, 1500000000, 260
4, 2000000000, 655
4, 2500000000, 458
4, 3000000000, 677
4, 3500000000, 846
4, 4294967295, 592
5, 500000000, 085
5, 1000000000, 732
5, 1500000000, 025
5, 2000000000, 513
5, 2500000000, 823
5, 3000000000, 015
5, 3500000000, 228
5, 4294967295, 573
